//ID			模型类型	逻辑类型	骨架号	套号	套装数量	部位00	部位01	部位02	部位03	部位04	部位05	部位06	部位07	FeffID	EeffID	特效动作编号	影子	Action编号	透明度	行走音效	喘息音效	死亡音效	是否可控	区域限制	高度偏移	可装备道具	length	width	height	碰撞范围	出生	死亡	出生特效	死亡特效	休眠动作	死亡瞬间动作	剩余hp特效表现	攻击是否转向	是否调用被吹起	script	使用的武器	技能ID	怪物技能频率	掉料	几率	极限数量	打爆几率	前缀等级	任务掉料ID	几率	ai	turning	vision	noise	getexp	light	mobexp	lv	mxhp	hp	mxsp	sp	mnatk	mxatk	resist	def	hit	flee	crt	mf	hrec	srec	aspd	adis	chase_adis	mspd	col	str	agi	dex	con	sta	luk	left_rad	guild	title	job	exp	nexp	fame	ap	tp	gd	spri	stor	mxsail	sail	stasa	scsm	tstr	tagi	tdex	tcon	tsta	tluk	tmxhp	tmxsp	tatk	tdef	thit	tflee	tmf	tcrt	threc	tsrec	taspd	tadis	tspd	tspri	tscsm	chasf
1	长发男	长发男	1	1	0	0	100	2000	0255	0464	0640	0816	0	0	0	0	0	0	1	1	100	182	-1	-1	0	0	0	1,2,3,4,7,8	1.051	1.369	2.599	40	1,5	0	399	398	0	0	0	1	1	0	0	25,28,29,30,31,34,35,38	0	0	0	0	0	0	0	0	1	1	1000	0	0	2	0	1	40	0	18	0	4	5	0	3	2	1	1	0	1	1	1442	0	1500	480	0	5	5	5	5	5	5	20	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	魁梧男	魁梧男	1	1	1	0	100	2062	0255	0464	0640	0816	0	0	0	0	0	0	1	2	100	182	-1	-1	0	0	0	1,2,5,6,8,10	1.061	1.815	2.785	40	1,5	0	399	398	0	0	0	1	1	0	0	25,28,29,32,33,35,37,38	100	0	0	0	0	0	0	0	1	1	1000	0	0	1	0	1	40	0	18	0	4	5	0	3	2	1	1	0	1	1	1442	0	1500	480	0	5	5	5	5	5	5	20	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1
3	女主角	女主角	1	1	2	0	100	2124	0255	0464	0640	0816	0	0	0	0	0	0	1	3	100	182	-1	-1	0	0	0	3,4,5,8,9	0.5	1.423	2.245	40	1,5	0	399	398	0	0	0	1	1	0	0	25,28,29,30,31,32,33,34,35,36,38	100	0	0	0	0	0	0	0	1	1	1000	0	0	1	0	1	40	0	18	0	4	5	0	3	2	1	1	0	1	1	1442	0	1500	480	0	5	5	5	5	5	5	20	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1
4	女主角2	女主角2	1	1	3	0	100	2246	0255	0464	0640	0816	0	0	0	0	0	0	1	4	100	182	-1	-1	0	0	0	7,8,9,10	0.797	1.392	1.709	40	1,5	0	399	398	0	0	0	1	1	0	0	25,28,29,34,35,36,37,38	100	0	0	0	0	0	0	0	1	1	1000	0	0	1	0	1	40	0	18	0	4	5	0	3	2	1	1	0	1	1	1442	0	1500	480	0	5	5	5	5	5	5	20	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1
5	战士	战士	4	2	5	0	1	1	0	0	0	0	0	0	0	0	0	0	1	5	100	-1	-1	-1	0	0	0	0	1.227	2.036	2.948	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	0	0	0	0	0	0	0	1	1	1000	0	0	1	0	300	5275	0	842	0	124	155	10	108	107	103	5	0	9	3	1217	0	1500	0	0	155	155	155	155	155	155	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1
10	工匠	工匠	4	2	10	0	1	1	0	0	0	0	0	0	0	0	0	0	1	10	100	-1	-1	-1	0	0	0	0	1.034	1.104	2.447	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	0	0	0	0	0	0	0	1	1	1000	0	0	1	0	300	5275	0	842	0	124	155	10	108	107	103	5	0	9	3	1217	0	1500	0	0	155	155	155	155	155	155	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1
11	秘术商人	秘术商人	4	2	11	0	1	1	0	0	0	0	0	0	0	0	0	0	1	11	100	-1	-1	-1	0	0	0	0	0.644	1.052	2.063	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	0	0	0	0	0	0	0	1	1	1000	0	0	1	0	300	5275	0	842	0	124	155	10	108	107	103	5	0	9	3	1217	0	1500	0	0	155	155	155	155	155	155	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1
12	城堡守卫	城堡守卫	4	2	85	0	1	1	0	0	0	0	0	0	0	0	0	0	1	12	100	-1	-1	-1	0	0	0	0	0.859	1.351	2.829	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	0	0	0	0	0	0	0	1	1	1000	0	0	1	0	300	5275	0	842	0	124	155	10	108	107	103	5	0	9	3	1217	500	1500	400	0	155	155	155	155	155	155	20	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1
13	商店老板	商店老板	4	2	86	0	1	1	0	0	0	0	0	0	0	0	0	0	1	13	100	-1	-1	-1	0	0	0	0	1.108	1.667	2.592	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	0	0	0	0	0	0	0	1	1	1000	0	0	1	0	300	5275	0	842	0	124	155	10	108	107	103	5	0	9	3	1217	500	1500	0	0	155	155	155	155	155	155	20	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1
14	秘书长	秘书长	4	2	87	0	1	1	0	0	0	0	0	0	0	0	0	0	1	14	100	-1	-1	-1	0	0	0	0	0.95	1.153	2.665	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	0	0	0	0	0	0	0	1	1	1000	0	0	1	0	300	5275	0	842	0	124	155	10	108	107	103	5	0	9	3	1217	500	1500	0	0	155	155	155	155	155	155	20	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1
15	服务员	服务员	4	2	88	0	1	1	0	0	0	0	0	0	0	0	0	0	1	15	100	-1	-1	-1	0	0	0	0	0.74	1.021	1.979	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	0	0	0	0	0	0	0	1	1	1000	0	0	1	0	300	5275	0	842	0	124	155	10	108	107	103	5	0	9	3	1217	500	1500	0	0	155	155	155	155	155	155	20	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1
16	银行出纳	银行出纳	4	2	89	0	1	1	0	0	0	0	0	0	0	0	0	0	1	16	100	-1	-1	-1	0	0	0	0	0.733	0.77	2.143	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	0	0	0	0	0	0	0	1	1	1000	0	0	1	0	300	5275	0	842	0	124	155	10	108	107	103	5	0	9	3	1217	500	1500	0	0	155	155	155	155	155	155	20	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1
17	交易员	交易员	4	2	90	0	1	1	0	0	0	0	0	0	0	0	0	0	1	17	100	-1	-1	-1	0	0	0	0	0.944	1.509	2.954	40	1,5	2,5	399	398	0	0	0	1	1	0	0	25	100	0	0	0	0	0	0	0	1	1	1000	0	0	1	0	300	5275	0	842	0	124	155	10	108	107	103	5	0	9	3	1217	500	1500	0	0	155	155	155	155	155	155	20	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1,1
