//编号	Name	ICON	掉落显示	蓝奇	卡西斯	菲莉尔	艾米	船标志	船体型号	类型	获得前缀几率	套装编号	精炼等级	安定值	唯一ID	交易	拾取	丢弃	可否删除	是否叠加	是否实例化	价格	体形	角色等级	职业	角色称号	角色名声	道具可装备位置	道具装备所替换位置	道具拾取进入位置判断	Str系数加成	Agi系数加成	Dex系数加成	Con系数加成	Sta系数加成	Luk系数加成	攻击频率系数加成	攻击距离系数加成	最小攻击力系数加成	最大攻击力系数加成	防御系数加成	Mxhp系数加成	Mxsp系数加成	flee系数加成	hit系数加成	crt系数加成	mf系数加成	hrec系数加成	srec系数加成	mspd系数加成	col系数加成	Str常数加成	Agi常数加成	Dex常数加成	Con常数加成	Sta常数加成	Luk常数加成	攻击频率常数加成	攻击距离常数加成	最小攻击力常数加成	最大攻击力常数加成	防御常数加成	Mxhp常数加成	Mxsp常数加成	flee常数加成	hit常数加成	crt常数加成	mf常数加成	hrec常数加成	srec常数加成	mspd常数加成	col常数加成	物理抵抗	道具左手发挥标识	道具能量	耐久	最大实例化洞数	船耐久恢复	可装炮数量	船员人数	人员标配	货舱容量	补给消耗	炮弹飞行速度	船移动速度	使用效果	挥舞特效	道具捆绑特效	道具捆绑特效dummy	道具显示特效(道具放在物品栏第一格的显示特效)	道具掉落模型特效	道具使用特效	描述（道具等级）	备注
0001	短剑	w0001	10100001	01010001	02010001	03010070	0	0	00	1	10	0	0	7	1	1	1	1	1	1	1	1015	3,2,1	10	1,8,9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	30,58	38,70	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	比长剑还短一点的剑	
0002	长剑	w0002	10100001	01010002	02010002	03010071	0	0	00	1	10	0	0	7	1	1	1	1	1	1	1	4897	3,2,1	20	1,8,9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	56,80	70,98	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	比短剑还长一点的剑	
0003	西洋剑	w0003	10100001	01010003	02010003	03010072	0	0	00	1	10	0	0	6	1	1	1	1	1	1	1	12948	3,2,1	30	1,8,9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	79,89	97,111	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	来自西洋的剑，速度快是他的优点来自西洋的剑，速度快是他的优点	
0004	蛇剑	w0004	10100001	01010004	02010004	03010073	0	0	00	1	10	0	0	6	1	1	1	1	1	1	1	26123	3,2,1	40	9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	89,97	109,121	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0005	精钢剑	w0005	10100001	01010005	02010005	03010074	0	0	00	1	10	0	0	5	1	1	1	1	1	1	1	45219	3,2,1	50	9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,13	0,13	0,13	0,13	0,13	0,0	0,0	0,0	102,118	126,146	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0006	斩龙剑	w0006	10100001	01010006	02010006	03010075	0	0	00	1	10	0	0	4	1	1	1	1	1	1	1	70938	3,2,1	60	9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,15	0,15	0,15	0,15	0,15	0,0	0,0	0,0	118,134	146,166	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0007	圣剑	w0007	10100001	01010007	02010007	03010076	0	0	00	1	10	0	0	4	1	1	1	1	1	1	1	103915	3,2,1	70	9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,17	0,17	0,17	0,17	0,17	0,0	0,0	0,0	134,148	164,182	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0008	新手小刀	w0092	10100001	01010008	02010008	03010008	04010008	0	00	1	0	0	0	0	0	1	1	1	1	1	1	27	-1	1	-1	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	14,14	18,18	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0009	新手短剑	w0092	10100001	01010008	02010008	03010008	04010008	0	00	1	0	0	0	0	0	1	1	1	1	1	1	100	-1	7	-1	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	29,30	33,38	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0010	短铁剑	w0260	10100001	01010009	02010009	03010077	0	0	00	1	10	0	0	7	1	1	1	1	1	1	1	2403	3,2,1	15	1,8,9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	44,68	54,86	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0011	钢剑	w0211	10100001	01010012	02010012	03010078	0	0	00	1	10	0	0	7	1	1	1	1	1	1	1	8237	3,2,1	25	1,8,9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	68,90	84,110	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
